,additional_info,address,latitude,longitude,name,phone_number,type,url
11820,Yelp Rating: 2.0 Reviews: 9,1979 Jerome Ave,40.852412,-73.908939,Papa John's,17182957272,Restaurants,https://www.yelp.com/biz/papa-johns-west-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11821,Yelp Rating: 2.5 Reviews: 30,88 E Burnside Ave,40.8532,-73.90608,Wingstop,19177377000,Restaurants,https://www.yelp.com/biz/wingstop-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11822,Yelp Rating: 2.0 Reviews: 12,2041 Grand Concourse,40.852251294892,-73.9041233807802,Kennedy Fried Chicken & Pizza,17182944477,Restaurants,https://www.yelp.com/biz/kennedy-fried-chicken-and-pizza-bronx-8?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11823,Yelp Rating: 3.0 Reviews: 1,124 East 176th St,40.84799937267,-73.90876686986891,Golden Gate II Deli Grocery,13472709696,Food,https://www.yelp.com/biz/golden-gate-ii-deli-grocery-mount-hope?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11824,Yelp Rating: 1.5 Reviews: 2,1881 Grand Concourse,40.848909899999995,-73.90693,Yaroa Easybuy,17182990240,Food,https://www.yelp.com/biz/yaroa-easybuy-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11825,Yelp Rating: 2.5 Reviews: 4,1791 Walton Ave,40.8481101989746,-73.9101104736328,Key Foods,17182992755,Food,https://www.yelp.com/biz/key-foods-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11826,Yelp Rating: 4.0 Reviews: 1,117 E 175th St,40.846709999999995,-73.90963,Del Caribe Meats,17189750208,Food,https://www.yelp.com/biz/del-caribe-meats-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11827,Yelp Rating: 5.0 Reviews: 1,1780 Grand Concourse,40.8461151123047,-73.9089279174805,Sacred Healing 7 Herb Center,13474074312,Food,https://www.yelp.com/biz/sacred-healing-7-herb-center-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11828,Yelp Rating: 1.0 Reviews: 1,229 E Tremont Ave,40.84924,-73.90462,CTown Supermarkets,17182946400,Food,https://www.yelp.com/biz/ctown-supermarkets-bronx-16?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11829,Yelp Rating: 3.0 Reviews: 1,251 E Tremont Ave,40.849089,-73.903882,Yanna Healthy Snacks Juice & Salad Bar,17184844887,Food,https://www.yelp.com/biz/yanna-healthy-snacks-juice-and-salad-bar-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
