,name,borough,latitude,longitude
99,Navy Yard,Brooklyn,40.69879087218055,-73.97164435527614
100,Ocean Parkway,Brooklyn,40.61305976667946,-73.96836678035548
101,Fort Hamilton,Brooklyn,40.6147681269423,-74.0319791453799
102,Chinatown,Manhattan,40.71561842231436,-73.99427936255985
103,Washington Heights,Manhattan,40.85190252555309,-73.93690027985242
104,Inwood,Manhattan,40.86768396449919,-73.92121042203905
105,Hamilton Heights,Manhattan,40.82360428481197,-73.94968791883373
106,Manhattanville,Manhattan,40.81693442949784,-73.95738539351888
107,Central Harlem,Manhattan,40.81597606742418,-73.94321112603912
108,East Harlem,Manhattan,40.79224946663037,-73.94418223148531
109,Upper East Side,Manhattan,40.77563857330185,-73.96050763135007
110,Yorkville,Manhattan,40.77592984988492,-73.94711784471833
111,Lenox Hill,Manhattan,40.76811265828737,-73.95885968813766
112,Roosevelt Island,Manhattan,40.76240373070225,-73.9494705736962
113,Upper West Side,Manhattan,40.7876579985349,-73.9770592363061
114,Lincoln Square,Manhattan,40.7735288894217,-73.9853377700127
115,Clinton,Manhattan,40.7583336869064,-73.99640768221386
116,Midtown,Manhattan,40.75469110270627,-73.98166882730311
117,Murray Hill,Manhattan,40.74830307725222,-73.97833207924134
118,Chelsea,Manhattan,40.74403470674802,-74.0031163347282
119,Greenwich Village,Manhattan,40.72693288536132,-73.99991402945909
120,East Village,Manhattan,40.72784677727029,-73.98222616506425
121,Lower East Side,Manhattan,40.71780674892769,-73.98089031999298
122,Tribeca,Manhattan,40.72152196744325,-74.01068328559094
123,Little Italy,Manhattan,40.71932379395911,-73.9973046720808
124,Soho,Manhattan,40.72218384131798,-74.00065666959766
125,West Village,Manhattan,40.73443393572438,-74.00617998126819
126,Manhattan Valley,Manhattan,40.7973070417029,-73.96428617740662
